Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0054A","DsDzialoszyn","Działoszyn","SPO_PL0054A_6001_001","PM2.5","14.941320","50.972170","356.000000","m","rural","industrial","01/01/2022 00:00:00","31/12/2022 00:00:00","SAM_PL0054A_6001_001","4.1","m","","","","","3000.0","m","Energy Industries","","","0","","","","","","open","hilly","","","","","","","","SPP_PL0054A_6001_001","01/01/2022 00:00:00","31/12/2022 00:00:00","automatic","BETA","","unknown","","","","","","inprogress","","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0190A","DsLegAlRzecz","Legnica, al. Rzeczypospolitej","SPO_PL0190A_6001_001","PM2.5","16.180510","51.204500","122.000000","m","urban","background","01/01/2010 00:00:00","31/12/2018 00:00:00","SAM_PL0190A_6001_001","4.1","m","","","","","","","Other sectors","","","0","","","","","Legnica","detached","plane","","","","","","","30000","SPP_PL0190A_6001_001","01/01/2010 00:00:00","31/12/2018 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","2.00","ug.m-3","QA/QC procedures","","1","day","1","day","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0190A","DsLegAlRzecz","Legnica, al. Rzeczypospolitej","SPO_PL0190A_6001_002","PM2.5","16.180510","51.204500","122.000000","m","urban","background","30/10/2025 00:00:00","","SAM_PL0190A_6001_002","4.0","m","13.0","m","59.0","m","","","Other sectors","","","0","","","","","Legnica","detached","plane","","","","","","","30000","SPP_PL0190A_6001_002","30/10/2025 00:00:00","","automatic","OPC-CMC","","undetermined","","","","","","inprogress","","-999","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0192A","DsWalbrzWyso","Wałbrzych, ul. Wysockiego","SPO_PL0192A_6001_001","PM2.5","16.269680","50.768730","424.000000","m","urban","background","01/01/2010 00:00:00","","SAM_PL0192A_6001_001","2.4","m","","","","","","","Manufacturing Industries and Construction","","","0","","","","","Wałbrzych","detached","basin","","","","","","","3000","SPP_PL0192A_6001_001","01/01/2010 00:00:00","","active","","","","","LVSauto2.3","","gravi","","ref","","2.00","ug.m-3","QA/QC procedures","","1","day","1","day","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0192A","DsWalbrzWyso","Wałbrzych, ul. Wysockiego","SPO_PL0192A_6001_002","PM2.5","16.269680","50.768730","424.000000","m","urban","background","12/11/2025 00:00:00","","SAM_PL0192A_6001_002","2.4","m","","","","","","","Manufacturing Industries and Construction","","","0","","","","","Wałbrzych","detached","basin","","","","","","","3000","SPP_PL0192A_6001_002","12/11/2025 00:00:00","","automatic","OPC-CMC","","undetermined","","","","","","inprogress","","-999","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0194A","DsWrocWybCon","Wrocław, wyb. Conrada-Korzeniowskiego","SPO_PL0194A_6001_001","PM2.5","17.029250","51.129380","114.000000","m","urban","background","01/06/2008 00:00:00","","SAM_PL0194A_6001_001","2.7","m","","","","","","","Other sectors","","","0","","","","","Wrocław","detached","plane","120.0","","0.02","","","","18000","SPP_PL0194A_6001_001","01/06/2008 00:00:00","","automatic","BETA","","BAM1020","","","","","","yes","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0197A","DsWrocAlWisn","Wrocław, al. Wiśniowa","SPO_PL0197A_6001_001","PM2.5","17.012690","51.086230","125.000000","m","urban","traffic","01/01/2011 00:00:00","","SAM_PL0197A_6001_001","4.0","m","29.0","m","8.0","m","","","Transport","","","0","","","","","Wrocław","canyon","plane","25.0","","0.04","14.0","9.0","30","26000","SPP_PL0197A_6001_001","01/01/2011 00:00:00","","automatic","BETA","","BAM1020","","","","","","yes","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0198A","DsZgorBohGet","Zgorzelec, ul. Bohaterów Getta","SPO_PL0198A_6001_001","PM2.5","15.008180","51.150390","215.000000","m","urban","background","01/01/2013 00:00:00","","SAM_PL0198A_6001_001","4.3","m","","","","","","","Other sectors","","","0","","","","","Zgorzelec","detached","plane","","","","","","","","SPP_PL0198A_6001_001","01/01/2013 00:00:00","","active","","","","","HVSauto30","","gravi","","ref","","2.00","ug.m-3","QA/QC procedures","","1","day","1","day","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0317A","DsOlawZolnAK","Oława, ul. Żołnierzy Armii Krajowej","SPO_PL0317A_6001_001","PM2.5","17.291330","50.942070","130.000000","m","urban","background","13/11/2025 00:00:00","","SAM_PL0317A_6001_001","4.0","m","","","","","","","Other sectors","","","0","","","","","Oława","detached","plane","","","","","","","","SPP_PL0317A_6001_001","13/11/2025 00:00:00","","automatic","OPC-CMC","","undetermined","","","","","","inprogress","","-999","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0490A","DsWrocNaGrob","Wrocław, ul. Na Grobli","SPO_PL0490A_6001_001","PM2.5","17.059230","51.103460","119.000000","m","urban","background","01/01/2010 00:00:00","","SAM_PL0490A_6001_001","1.6","m","","","","","","","Other sectors","","","0","","","","","Wrocław","detached","plane","","","","","","","","SPP_PL0490A_6001_001","01/01/2010 00:00:00","","active","","","","","LVSauto2.3","","gravi","","ref","","2.00","ug.m-3","QA/QC procedures","","1","day","1","day","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
