Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB007","DEBB007","Elsterwerda, 1992-2020","SPO.DE_DEBB007_PM2_dataGroup1","PM2.5","13.526800","51.462730","89.000000","m","suburban","background","01/01/2008 00:00:01","01/01/2021 00:00:00","SAM.DE_DEBB007_2","3.5","m","","","","","","","","","","0","","","","","Elsterwerda","","","","","","","","","","SPP.DE_DEBB007_PM2_automatic_light-scat_Duration-30minute","01/01/2008 00:00:01","01/01/2021 00:00:00","automatic","light-scat","","","","","","","","yes","https://lfu.brandenburg.de/info/aequivalenzverfahren-luft","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB007","DEBB007","Elsterwerda, 1992-2020","SPO.DE_DEBB007_PM2_dataGroup2","PM2.5","13.526800","51.462730","89.000000","m","suburban","background","01/01/2020 00:00:01","01/01/2021 00:00:00","SAM.DE_DEBB007_2","3.5","m","","","","","","","","","","0","","","","","Elsterwerda","","","","","","","","","","SPP.DE_DEBB007_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2020 00:00:01","01/01/2021 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB021","DEBB021","Potsdam-Zentrum","SPO.DE_DEBB021_PM2_dataGroup1","PM2.5","13.060160","52.401390","31.000000","m","urban","background","19/02/2008 00:00:01","","SAM.DE_DEBB021_2","3.5","m","","","","","","","","","","0","","","","","Potsdam","","","","","","","","","","SPP.DE_DEBB021_PM2_automatic_light-scat_Duration-30minute","19/02/2008 00:00:01","","automatic","light-scat","","","","","","","","yes","http://www.lfu.brandenburg.de/info/aequivalenzverfahren-luft","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB021","DEBB021","Potsdam-Zentrum","SPO.DE_DEBB021_PM2_dataGroup1","PM2.5","13.060160","52.401390","31.000000","m","urban","background","19/02/2008 00:00:01","","SAM.DE_DEBB021_2","3.5","m","","","","","","","","","","0","","","","","Potsdam","","","","","","","","","","SPP.DE_DEBB021_PM2_automatic_nephelometry_beta_Duration-30minute","19/02/2008 00:00:01","","automatic","nephelometry+beta","","","","","","","","no","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB021","DEBB021","Potsdam-Zentrum","SPO.DE_DEBB021_PM2_dataGroup2","PM2.5","13.060160","52.401390","31.000000","m","urban","background","05/12/2007 00:00:01","","SAM.DE_DEBB021_2","3.5","m","","","","","","","","","","0","","","","","Potsdam","","","","","","","","","","SPP.DE_DEBB021_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","05/12/2007 00:00:01","","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB029","DEBB029","Schwedt (Oder)","SPO.DE_DEBB029_PM2_dataGroup1","PM2.5","14.285140","53.064260","5.000000","m","suburban","industrial","01/01/2013 00:00:01","","SAM.DE_DEBB029_2","3.5","m","","","","","3500.0","m","Industrial Processes","","","0","","","","","Schwedt/Oder","","","","","","","","","","SPP.DE_DEBB029_PM2_automatic_light-scat_Duration-30minute","01/01/2013 00:00:01","","automatic","light-scat","","","","","","","","yes","http://cdr.eionet.europa.eu/de/eu/eiod","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB029","DEBB029","Schwedt (Oder)","SPO.DE_DEBB029_PM2_dataGroup2","PM2.5","14.285140","53.064260","5.000000","m","suburban","industrial","01/01/2023 00:00:01","","SAM.DE_DEBB029_2","3.5","m","","","","","3500.0","m","Industrial Processes","","","0","","","","","Schwedt/Oder","","","","","","","","","","SPP.DE_DEBB029_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2023 00:00:01","","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB032","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_PM2_dataGroup1","PM2.5","14.638170","52.146260","40.000000","m","suburban","industrial","15/02/2008 00:00:01","","SAM.DE_DEBB032_2","3.5","m","","","","","2400.0","m","Industrial Processes","","","0","","","","","Eisenhüttenstadt","","","","","","","","","","SPP.DE_DEBB032_PM2_automatic_light-scat_Duration-30minute","15/02/2008 00:00:01","","automatic","light-scat","","","","","","","","yes","https://lfu.brandenburg.de/info/aequivalenzverfahren-luft","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB032","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_PM2_dataGroup2","PM2.5","14.638170","52.146260","40.000000","m","suburban","industrial","01/01/2018 00:00:01","01/01/2024 00:00:00","SAM.DE_DEBB032_2","3.5","m","","","","","2400.0","m","Industrial Processes","","","0","","","","","Eisenhüttenstadt","","","","","","","","","","SPP.DE_DEBB032_PM2_active_LVSauto2.3_gravi_Duration-1day_Cadence-1day","01/01/2018 00:00:01","01/01/2024 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","1","day","1","day","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
"Germany","http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD","2025","NET.DE_BB","Landesamt für Umwelt Brandenburg","UTC+01","DEBB044","DEBB044","Cottbus, Bahnhofstr.","SPO.DE_DEBB044_PM2_dataGroup1","PM2.5","14.328000","51.756590","75.000000","m","urban","traffic","01/01/2008 00:00:01","","SAM.DE_DEBB044_2","3.6","m","5.0","m","2.0","m","","","Transport","","","0","","","","","Cottbus","","","40.0","","","","","","15000","SPP.DE_DEBB044_PM2_automatic_light-scat_Duration-30minute","01/01/2008 00:00:01","","automatic","light-scat","","","","","","","","yes","http://www.lfu.brandenburg.de/info/datenqualitaet-luft","-999.0","ug.m-3","http://www.umweltbundesamt.de/luft/missingDocumentation.pdf","http://www.umweltbundesamt.de/luft/QAinPreparation.pdf","30","minute","1","variable","http://cdr.eionet.europa.eu/de/eu/aqd/d/colatkmnw/envathsw/DE_D_allInOne_metaMeasurements_2025.xml","16/12/2025 14:00:25"
